CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
15321;Injerto alografico de piel para cierre temporal de herida de cara, cuero cabelludo, boca, cuello, oídos, orbitas, genitales, manos, pies y/o múltiples dedos, cada 100.0 cm cuadrados o menos de 1% de la superficie corporal de lactantes y niños adicionales. R;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.1;Subsección Sistema Tegumentario;ACTIVO
15330;Injerto alografico dérmico acelular en tronco o extremidades, primeros 100.0 cm cuadrados o menos de 1% de la superficie corporal de lactantes y niños;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.1;Subsección Sistema Tegumentario;ACTIVO
24101;"Artrotomía, codo; con exploración de la articulación, con o sin biopsia, con o sin extirpación de cuerpo suelto o de cuerpo extraño";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27054;Artrotomía con sinovectomía, articulación de la cadera;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27057;Fasciotomía(s) decompresiva(s), compartimentos pélvicos (nalgas) (p. ej. glúteo medio-menor, glúteo mayor, iliopsoas y/o tensor de la fascia lata) con debridación de músculo no viable, unilateral;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27059;Resección radical de tumor, (ej. Neoplasma maligno), de tejidos blandos de la pelvis y cadera, 5.0 cm o más;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27060;"Escición; bolsa sinovial isquiática";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27062;"Escición; bolsa sinovial trocantérica o calcificación";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27065;"Escición de quiste óseo o tumor benigno; superficial (ala del ilion, sínfisis del pubis, o trocánter mayor del fémur) icluye injerto autólogo, cuando se realice";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27066;"Escición de quiste óseo o tumor benigno, ala del ilion, sínfisis del pubis, o trocánter mayor del fémur; profundo (subfascial) icluye injerto autólogo, cuando se realice";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27067;"Escición de quiste óseo o tumor benigno, ala del ilion, sínfisis del pubis, o trocánter mayor del fémur; con injerto autólogo que requiee incisión separada";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27070;"Escición parcial de ala del ilion, sínfisis del pubis o trocanter mayor del fémur (craterización, saucerización) (p. ej. osteomielitis o absceso óseo); superficial";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
