CO_CODUPS;DE_NOMBREUPS;TABLA_D1_SETI IPRESS;TABLA_G_SETIIPRESS;TABLA_I_SETIIPRESS
120200;HEMOTERAPIA Y BANCO DE SANGRE -FRACCIONAMIENTO DE SANGRE-;0;1;1
120300;HEMOTERAPIA Y BANCO DE SANGRE -ALMACENAMIENTO Y CONTROL DE CALIDAD-;0;1;1
120400;HEMOTERAPIA Y BANCO DE SANGRE -COMPATIBILIDAD Y GRUPOS SANGUÍNEOS-;0;1;1
120500;HEMOTERAPIA Y BANCO DE SANGRE -EXTRACCIÓN Y SEPARACIÓN DE COMPONENTES-;0;1;1
120600;HEMOTERAPIA Y BANCO DE SANGRE -HEMOTERAPIA-;0;1;1
120700;HEMOTERAPIA Y BANCO DE SANGRE -SELECCIÓN Y PROMOCIÓN DE DONANTES-;0;1;1
120800;HEMOTERAPIA Y BANCO DE SANGRE -TAMIZAJE-;0;1;1
130000;MEDICINA DE REHABILITACIÓN / MEDICINA FÍSICA Y REHABILITACIÓN;0;1;1
130100;MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-FONIATRÍA -;0;1;1
130200;MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-LOGOTERAPIA-;0;1;1
130300;MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-REHABILITACIÓN FÍSICA;0;1;1
130301;MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-REHABILITACIÓN FÍSICA-REHABILITACIÓN NEUROLÓGICA;0;1;1
130302;REHABILITACIÓN FÍSICA-REHABILITACIÓN POST RESECCIÓN QUIRÚRGICA / AMPUTACIÓN;0;1;1
130303;MEDIC. DE REHAB. / MEDICINA FÍS.Y REHAB.-REHABILITACIÓN FÍSICA-REHABILITACIÓN OFTALMOLÓGICA;0;1;1
130304;REHABILITACIÓN FÍSICA-REHABILITACIÓN REUMATOLÓGICA Y TRAUMATOLÓGICA;0;1;1
140000;MEDICINA NUCLEAR ;0;1;1
140100;MEDICINA NUCLEAR -GAMAGRAFÍA-;0;1;1
140200;MEDICINA NUCLEAR -RADIOINMUNOENSAYO-;0;1;1
